CloseDate,EntryDate,Symbol,AssetClass,TradeType,RealizedPnL,BaseNav,CapitalAtRisk
2025-07-27,2025-07-01,SPY,OPT,Short Put Spread,603.49,110959.68,5517.81
2025-07-29,2025-07-06,SPY,OPT,Short Put Spread,738.15,111697.84,5547.98
2025-07-30,2025-07-15,SPY,OPT,Short Put Spread,464.78,112162.61,5584.89
2025-08-01,2025-07-06,SPY,OPT,Short Put Spread,-3032.49,109130.12,5608.13
2025-08-03,2025-07-16,SPY,OPT,Short Put Spread,744.73,109874.84,5456.51
2025-08-04,2025-07-11,SPY,OPT,Short Put Spread,689.38,110564.22,5493.74
2025-08-06,2025-07-19,SPY,OPT,Short Put Spread,-3191.64,107372.59,5528.21
2025-08-09,2025-07-25,SPY,OPT,Short Put Spread,780.28,108152.86,5368.63
2025-08-10,2025-07-20,SPY,OPT,Short Put Spread,665.73,108818.6,5407.64
2025-08-12,2025-07-18,SPY,OPT,Short Put Spread,658.38,109476.97,5440.93
2025-08-14,2025-07-18,SPY,OPT,Short Put Spread,487.15,109964.12,5473.85
2025-08-17,2025-08-02,SPY,OPT,Short Put Spread,680.76,110644.88,5498.21
2025-08-18,2025-07-22,SPY,OPT,Short Put Spread,522.62,111167.5,5532.24
2025-08-19,2025-07-23,SPY,OPT,Short Put Spread,591.46,111758.96,5558.38
2025-08-22,2025-07-29,SPY,OPT,Short Put Spread,578.68,112337.64,5587.95
2025-08-23,2025-08-07,SPY,OPT,Short Put Spread,458.5,112796.14,5616.88
2025-08-26,2025-08-07,SPY,OPT,Short Put Spread,497.83,113293.98,5639.81
2025-08-28,2025-08-10,SPY,OPT,Short Put Spread,801.12,114095.09,5664.7
2025-08-29,2025-08-05,SPY,OPT,Short Put Spread,569.01,114664.1,5704.75
2025-08-30,2025-08-15,SPY,OPT,Short Put Spread,782.46,115446.56,5733.21
2025-09-02,2025-08-12,SPY,OPT,Short Put Spread,612.1,116058.66,5772.33
2025-09-05,2025-08-21,SPY,OPT,Short Put Spread,-3317.44,112741.23,5802.93
2025-09-08,2025-08-16,SPY,OPT,Short Put Spread,748.7,113489.93,5637.06
2025-09-10,2025-08-18,SPY,OPT,Short Put Spread,-2843.21,110646.72,5674.5
2025-09-12,2025-08-25,SPY,OPT,Short Put Spread,481.31,111128.03,5532.34
2025-09-13,2025-08-23,SPY,OPT,Short Put Spread,-2324.01,108804.02,5556.4
2025-09-15,2025-08-22,SPY,OPT,Short Put Spread,618.97,109422.99,5440.2
2025-09-18,2025-08-23,SPY,OPT,Short Put Spread,472.81,109895.8,5471.15
2025-09-19,2025-08-31,SPY,OPT,Short Put Spread,521.41,110417.21,5494.79
2025-09-22,2025-09-03,SPY,OPT,Short Put Spread,485.52,110902.73,5520.86
2025-09-24,2025-08-31,SPY,OPT,Short Put Spread,-3322.57,107580.16,5545.14
2025-09-25,2025-08-31,SPY,OPT,Short Put Spread,635.87,108216.03,5379.01
2025-09-27,2025-09-03,SPY,OPT,Short Put Spread,-2908.88,105307.15,5410.8
2025-09-28,2025-09-01,SPY,OPT,Short Put Spread,452.23,105759.38,5265.36
2025-09-30,2025-09-14,SPY,OPT,Short Put Spread,753.18,106512.56,5287.97
2025-10-01,2025-09-09,SPY,OPT,Short Put Spread,513.0,107025.56,5325.63
2025-10-02,2025-09-03,SPY,OPT,Short Put Spread,732.57,107758.13,5351.28
2025-10-05,2025-09-15,SPY,OPT,Short Put Spread,-2966.99,104791.14,5387.91
2025-10-08,2025-09-17,SPY,OPT,Short Put Spread,557.8,105348.94,5239.56
2025-10-11,2025-09-13,SPY,OPT,Short Put Spread,543.17,105892.1,5267.45
2025-10-14,2025-09-16,SPY,OPT,Short Put Spread,573.75,106465.85,5294.61
2025-10-16,2025-09-17,SPY,OPT,Short Put Spread,711.74,107177.59,5323.29
2025-10-17,2025-09-21,SPY,OPT,Short Put Spread,684.18,107861.78,5358.88
2025-10-19,2025-09-26,SPY,OPT,Short Put Spread,611.79,108473.57,5393.09
2025-10-20,2025-09-24,SPY,OPT,Short Put Spread,799.59,109273.16,5423.68
2025-10-21,2025-10-02,SPY,OPT,Short Put Spread,-2232.63,107040.53,5463.66
2025-10-23,2025-10-05,SPY,OPT,Short Put Spread,-3124.64,103915.89,5352.03
2025-10-26,2025-09-27,SPY,OPT,Short Put Spread,443.1,104358.99,5195.79
2025-10-27,2025-10-12,SPY,OPT,Short Put Spread,525.0,104884.0,5217.95
2025-10-28,2025-10-07,SPY,OPT,Short Put Spread,560.57,105444.57,5244.2
